date,hour,year,provider,alt,technology,lat,support,risk_ratio,outlier_count,total_count
,,,,,,54.12,0.0014716703458425313,5.8940136113398935,2.0,34.0
,,,,,,54.0,0.0014716703458425313,6.07266474620933,2.0,33.0
2017-11-14,,,,20.0,,,0.0014716703458425313,6.680078604765414,2.0,30.0
,,,,150.0,,55.19,0.0014716703458425313,10.020854826823877,2.0,20.0
2016-09-08,,,,,,54.66,0.0014716703458425313,6.262481577008106,2.0,32.0
2017-04-24,,,,,,55.78,0.0014716703458425313,4.4528944567264395,2.0,45.0
,,,,140.0,,54.2,0.0014716703458425313,22.270367641038238,2.0,9.0
,,,,140.0,,55.2,0.0014716703458425313,7.708009750014171,2.0,26.0
,,,,90.0,,55.7,0.0014716703458425313,5.416001115337887,2.0,37.0
,,,,20.0,,55.3,0.0014716703458425313,11.789501062031299,2.0,17.0
2018-01-11,,,,,,54.81,0.0014716703458425313,13.361631048882337,2.0,15.0
,,,,10.0,,55.62,0.0014716703458425313,14.316138540899042,2.0,14.0
,,,,50.0,,56.18,0.0014716703458425313,5.273435984951324,2.0,38.0
2018-01-24,,,,,,55.13,0.0014716703458425313,33.40628838123311,2.0,6.0
2018-04-11,,,,,,54.93,0.0014716703458425313,6.07266474620933,2.0,33.0
2017-01-31,,,,,,54.66,0.0014716703458425313,5.273435984951324,2.0,38.0
,18,,,90.0,,,0.0014716703458425313,6.910476964907376,2.0,29.0
2018-04-11,,,,,,54.92,0.0014716703458425313,4.263346869659292,2.0,47.0
,,,,40.0,,56.17,0.0014716703458425313,5.273435984951324,2.0,38.0
2018-01-24,,,,,,55.76,0.0014716703458425313,4.174496438221567,2.0,48.0
2017-06-06,,,,,,54.66,0.0014716703458425313,8.71359456601839,2.0,23.0
2016-09-06,,,,,,56.07,0.0014716703458425313,9.10973403898975,2.0,22.0
,,,,40.0,,56.16,0.0014716703458425313,4.660074377474251,2.0,43.0
2018-03-13,,,,,,54.84,0.0014716703458425313,15.417493339379854,2.0,13.0
2017-06-19,,,,,,55.74,0.0014716703458425313,7.422473320778406,2.0,27.0
,,,,40.0,,56.15,0.0014716703458425313,6.07266474620933,2.0,33.0
2015-11-04,,,,,,54.66,0.0014716703458425313,8.0163890935888,2.0,25.0
2017-01-31,,,,,,54.74,0.0014716703458425313,40.08784082535004,2.0,5.0
2016-06-14,9,,,,,,0.0014716703458425313,8.71359456601839,2.0,23.0
2017-09-26,,,,,,54.9,0.0014716703458425313,28.63375092114959,2.0,7.0
,,2017,,,,55.56,0.0014716703458425313,3.23153540780184,2.0,62.0
2015-12-15,10,,,,,,0.0014716703458425313,5.416001115337887,2.0,37.0
2015-07-14,,,,,,55.65,0.0014716703458425313,9.543601080815524,2.0,21.0
2016-04-21,15,,,,,,0.0014716703458425313,3.8532679553313307,2.0,52.0
2018-01-24,,,,,,55.04,0.0014716703458425313,3.03559545342891,2.0,66.0
2018-03-13,,,,,,55.22,0.0014716703458425313,3.130503868828298,2.0,64.0
,15,,,,,55.74,0.0014716703458425313,7.708009750014171,2.0,26.0
2016-03-30,,,,,,54.8,0.0014716703458425313,18.22094191733101,2.0,11.0
,,2017,,,,55.54,0.0014716703458425313,3.2845355593945182,2.0,61.0
,10,,,,,55.39,0.0014716703458425313,3.5151327101837126,2.0,57.0
,9,,,,,54.81,0.0014716703458425313,3.5151327101837126,2.0,57.0
,,2017,,,,54.32,0.0014716703458425313,3.130503868828298,2.0,64.0
2017-06-19,,,,,,55.05,0.0014716703458425313,9.10973403898975,2.0,22.0
,,2017,,,,55.2,0.0014716703458425313,3.0823195963947625,2.0,65.0
,,2016,,,,55.56,0.0014716703458425313,4.35606036333344,2.0,46.0
,,2018,,,,56.17,0.0014716703458425313,6.464544654955191,2.0,31.0
,11,,,,,54.38,0.0014716703458425313,3.3959257085045524,2.0,59.0
2017-02-27,,,,,,54.86,0.0014716703458425313,25.054347826086957,2.0,8.0
,,2017,,,,54.54,0.0014716703458425313,3.7104997407134475,2.0,54.0
,10,,,,,55.56,0.0014716703458425313,3.7104997407134475,2.0,54.0
,,2018,,,,56.16,0.0014716703458425313,5.138181886892277,2.0,39.0
2018-01-30,,,,,,55.64,0.0014716703458425313,5.8940136113398935,2.0,34.0
2017-10-24,,,,70.0,,,0.0014716703458425313,25.054347826086957,2.0,8.0
,,2016,,,,54.32,0.0014716703458425313,3.03559545342891,2.0,66.0
2018-03-06,,,,70.0,,,0.0014716703458425313,8.0163890935888,2.0,25.0
,10,,,,,55.69,0.0014716703458425313,3.1802178007041673,2.0,63.0
2015-06-23,,,,,,54.6,0.0014716703458425313,13.361631048882337,2.0,15.0
2017-06-19,,,,,,55.07,0.0014716703458425313,3.7805369780731635,2.0,53.0
2018-01-30,,,,,,54.86,0.0014716703458425313,11.789501062031299,2.0,17.0
2017-02-27,,,,,,54.84,0.0014716703458425313,10.020854826823877,2.0,20.0
,9,,,,,55.26,0.0014716703458425313,3.8532679553313307,2.0,52.0
2016-06-30,,,,,,55.84,0.0014716703458425313,25.054347826086957,2.0,8.0
,,2017,,,,54.51,0.0014716703458425313,4.4528944567264395,2.0,45.0
,,2016,,,,55.4,0.0014716703458425313,3.9288511277760922,2.0,51.0
2017-09-26,,,,,,54.55,0.0014716703458425313,3.0823195963947625,2.0,65.0
,,2016,,,,55.32,0.0014716703458425313,3.2845355593945182,2.0,61.0
,,2017,,,,55.43,0.0014716703458425313,4.08927255500579,2.0,49.0
2017-11-15,,,,,,56.18,0.0014716703458425313,33.40628838123311,2.0,6.0
,13,,,,,55.64,0.0014716703458425313,5.009690493736183,2.0,40.0
,10,,,,,56.17,0.0014716703458425313,6.910476964907376,2.0,29.0
,,2018,,,,55.61,0.0014716703458425313,3.130503868828298,2.0,64.0
,11,,,,,54.61,0.0014716703458425313,3.1802178007041673,2.0,63.0
2018-01-30,,,,,,55.78,0.0014716703458425313,8.350466715794644,2.0,24.0
,12,,,,,55.78,0.0014716703458425313,4.007457627118645,2.0,50.0
,9,,,,,55.48,0.0014716703458425313,3.2845355593945182,2.0,61.0
,10,,,,,54.32,0.0014716703458425313,3.0823195963947625,2.0,65.0
,,2017,,,,55.87,0.0014716703458425313,3.9288511277760922,2.0,51.0
,10,,,,,55.4,0.0014716703458425313,4.08927255500579,2.0,49.0
,10,,,,,56.16,0.0014716703458425313,5.566486530745926,2.0,36.0
2017-06-06,,,,,,54.61,0.0014716703458425313,7.708009750014171,2.0,26.0
2017-02-06,,,,200.0,,,0.0014716703458425313,3.2845355593945182,2.0,61.0
,9,,,,,54.22,0.0014716703458425313,3.5151327101837126,2.0,57.0
2016-06-30,,,,70.0,,,0.0014716703458425313,3.577929255711127,2.0,56.0
,,2016,,,,55.06,0.0014716703458425313,3.6430093119849936,2.0,55.0
,7,,,,,54.84,0.0014716703458425313,22.270367641038238,2.0,9.0
,9,,,,,55.2,0.0014716703458425313,3.3959257085045524,2.0,59.0
,11,,,,,54.6,0.0014716703458425313,3.03559545342891,2.0,66.0
2017-02-27,,,,,,55.17,0.0014716703458425313,4.08927255500579,2.0,49.0
2016-09-15,,,,70.0,,,0.0014716703458425313,3.3393023827069515,2.0,60.0
2017-02-27,,,,,,55.37,0.0014716703458425313,22.270367641038238,2.0,9.0
,11,,,,,55.37,0.0014716703458425313,3.23153540780184,2.0,62.0
,9,,,,,55.41,0.0014716703458425313,4.887466973416971,2.0,41.0
,10,,,,,55.57,0.0014716703458425313,5.72557111274871,2.0,35.0
,9,,,,,55.47,0.0014716703458425313,3.1802178007041673,2.0,63.0
2018-03-06,,,,,,54.4,0.0014716703458425313,4.771063620732007,2.0,42.0
,8,,,,,55.23,0.0014716703458425313,8.71359456601839,2.0,23.0
,,,,70.0,,55.39,0.0014716703458425313,4.35606036333344,2.0,46.0
,7,,,,,54.85,0.0014716703458425313,7.422473320778406,2.0,27.0
,,2016,,,,55.62,0.0014716703458425313,3.5151327101837126,2.0,57.0
,8,,,200.0,,,0.0014716703458425313,6.464544654955191,2.0,31.0
2017-02-27,,,,,,55.14,0.0014716703458425313,5.009690493736183,2.0,40.0
,8,,,,,56.24,0.0014716703458425313,14.316138540899042,2.0,14.0
2016-06-30,,,,,,55.32,0.0014716703458425313,28.63375092114959,2.0,7.0
,12,,,,,54.57,0.0014716703458425313,4.35606036333344,2.0,46.0
2015-12-16,,,,,,56.25,0.0014716703458425313,7.708009750014171,2.0,26.0
2018-04-05,,,,110.0,,,0.0014716703458425313,4.08927255500579,2.0,49.0
,10,,,,,55.43,0.0014716703458425313,7.422473320778406,2.0,27.0
,8,,,,,55.38,0.0014716703458425313,15.417493339379854,2.0,13.0
,12,,,,,55.81,0.0014716703458425313,4.08927255500579,2.0,49.0
2017-06-20,,,,,,55.5,0.0014716703458425313,3.454501562777933,2.0,58.0
2017-06-20,,,,,,55.27,0.0014716703458425313,22.270367641038238,2.0,9.0
,12,,,,,55.14,0.0014716703458425313,3.9288511277760922,2.0,51.0
2018-01-30,,,,,,55.2,0.0014716703458425313,50.110169491525426,2.0,4.0
,,,,190.0,,54.69,0.0014716703458425313,8.71359456601839,2.0,23.0
2017-02-08,,,,,,55.38,0.0014716703458425313,33.40628838123311,2.0,6.0
,9,,,,,55.65,0.0014716703458425313,4.4528944567264395,2.0,45.0
2017-10-24,,,,60.0,,,0.0014716703458425313,3.3393023827069515,2.0,60.0
,,,,70.0,,55.36,0.0014716703458425313,5.009690493736183,2.0,40.0
2018-03-06,,,,,,54.2,0.0014716703458425313,12.526436993367723,2.0,16.0
2017-02-21,,,,70.0,,,0.0014716703458425313,10.548345809254158,2.0,19.0
,,,,70.0,,54.6,0.0014716703458425313,10.020854826823877,2.0,20.0
,13,,,,,55.32,0.0014716703458425313,6.910476964907376,2.0,29.0
2018-05-16,,,,,,55.57,0.0014716703458425313,33.40628838123311,2.0,6.0
,11,,,,,56.07,0.0014716703458425313,5.138181886892277,2.0,39.0
2017-06-20,,,,,,55.67,0.0014716703458425313,33.40628838123311,2.0,6.0
2017-06-20,,,,,,55.48,0.0014716703458425313,10.020854826823877,2.0,20.0
,8,,,,,54.78,0.0014716703458425313,3.7104997407134475,2.0,54.0
,8,,,,,54.55,0.0014716703458425313,16.7024072709408,2.0,12.0
,,,,110.0,,55.67,0.0014716703458425313,4.08927255500579,2.0,49.0
,14,,,,,55.94,0.0014716703458425313,5.273435984951324,2.0,38.0
,12,,,,,56.18,0.0014716703458425313,16.7024072709408,2.0,12.0
2017-03-02,,,,,,55.25,0.0014716703458425313,22.270367641038238,2.0,9.0
2016-04-21,14,,,,,,0.0014716703458425313,3.8532679553313307,2.0,52.0
,,2015,,,,55.78,0.0014716703458425313,3.1802178007041673,2.0,63.0
2017-09-19,,,,,,55.52,0.0014716703458425313,14.316138540899042,2.0,14.0
,,,,70.0,,55.88,0.0014716703458425313,20.043183492999262,2.0,10.0
2017-02-27,,,,100.0,,,0.0014716703458425313,5.72557111274871,2.0,35.0
2018-06-15,,,,110.0,,,0.0014716703458425313,5.009690493736183,2.0,40.0
,8,,,,,55.14,0.0014716703458425313,11.134446900843363,2.0,18.0
,,2015,,,,56.25,0.0014716703458425313,6.464544654955191,2.0,31.0
2016-06-14,,,,,,55.74,0.0014716703458425313,5.416001115337887,2.0,37.0
,8,,,,,55.41,0.0014716703458425313,14.316138540899042,2.0,14.0
2017-06-20,,,,,,55.53,0.0014716703458425313,16.7024072709408,2.0,12.0
2016-09-08,,,,100.0,,,0.0014716703458425313,3.2845355593945182,2.0,61.0
,14,,,,,54.93,0.0014716703458425313,3.9288511277760922,2.0,51.0
,8,,,,,55.42,0.0014716703458425313,16.7024072709408,2.0,12.0
2017-07-19,,,,,,55.94,0.0014716703458425313,9.543601080815524,2.0,21.0
2017-09-19,,,,,,55.51,0.0014716703458425313,8.0163890935888,2.0,25.0
,,,,100.0,,54.75,0.0014716703458425313,7.708009750014171,2.0,26.0
,,,,70.0,,56.26,0.0014716703458425313,4.263346869659292,2.0,47.0
2016-09-15,,,,,,55.77,0.0014716703458425313,8.71359456601839,2.0,23.0
,,,,60.0,,55.77,0.0014716703458425313,6.464544654955191,2.0,31.0
,,,,70.0,,55.87,0.0014716703458425313,18.22094191733101,2.0,11.0
2018-06-15,,,,,,54.69,0.0014716703458425313,3.130503868828298,2.0,64.0
,8,,,,,55.1,0.0014716703458425313,8.350466715794644,2.0,24.0
2016-06-14,,,,,,55.96,0.0014716703458425313,12.526436993367723,2.0,16.0
,8,,,,,55.62,0.0014716703458425313,8.71359456601839,2.0,23.0
2016-09-15,,,,,,55.17,0.0014716703458425313,33.40628838123311,2.0,6.0
,,,,120.0,,54.81,0.0014716703458425313,10.548345809254158,2.0,19.0
,,,,110.0,,55.65,0.0014716703458425313,3.7104997407134475,2.0,54.0
,,,,80.0,,55.78,0.0014716703458425313,3.577929255711127,2.0,56.0
2017-10-19,,,,,,55.88,0.0014716703458425313,50.110169491525426,2.0,4.0
2016-03-07,,,,130.0,,,0.0014716703458425313,11.134446900843363,2.0,18.0
,,,,80.0,,55.5,0.0014716703458425313,11.789501062031299,2.0,17.0
2018-07-27,,,,100.0,,,0.0014716703458425313,4.4528944567264395,2.0,45.0
2017-02-08,,,,130.0,,,0.0014716703458425313,4.08927255500579,2.0,49.0
,,,,100.0,,55.26,0.0014716703458425313,7.157332350773765,2.0,28.0
,,,,120.0,,54.92,0.0014716703458425313,10.020854826823877,2.0,20.0
2018-01-11,,,,120.0,,,0.0014716703458425313,4.4528944567264395,2.0,45.0
