date,hour,lng,year,provider,alt,technology,lat,support,risk_ratio,outlier_count,total_count
2017-09-19,,,,,,,56.0,0.010301692420897719,5.2327192620129415,14.0,270.0
2017-06-20,,22.0,,,,,,0.010301692420897719,3.400782908586017,14.0,415.0
,,24.0,,,100.0,,56.0,0.010301692420897719,6.253505280126328,14.0,226.0
2016-03-24,,25.0,,,,,,0.011037527593818985,4.240633753501402,15.0,357.0
2017-06-20,,,,,,,56.0,0.01177336276674025,3.028028035020026,16.0,533.0
,11,,2017,,100.0,,,0.01177336276674025,3.6705611588709126,16.0,440.0
,16,,,,0.0,,56.0,0.01177336276674025,3.356670376774621,16.0,481.0
,,25.0,2016,,80.0,,,0.01177336276674025,4.379113217788916,16.0,369.0
2018-03-13,,25.0,,,,,,0.012509197939661517,4.031557202129818,17.0,426.0
2017-02-08,9,,,,,,,0.012509197939661517,5.599188337694239,17.0,307.0
2017-10-24,,21.0,,,,,,0.013245033112582781,3.2523081725516563,18.0,559.0
,,24.0,2018,,100.0,,,0.013245033112582781,3.0342293083550884,18.0,599.0
2018-01-30,,24.0,,,,,56.0,0.013980868285504048,3.5437558517376218,19.0,542.0
,,26.0,,,180.0,,,0.01692420897718911,4.28677158550546,23.0,544.0
,10,23.0,2016,,,,,0.01692420897718911,3.2078106184325565,23.0,726.0
2017-02-08,,,,,,,55.0,0.019867549668874173,3.03606849643435,27.0,902.0
,,25.0,,,80.0,,55.0,0.021339220014716703,3.076919571656414,29.0,957.0
2017-02-08,,25.0,,,,,,0.02207505518763797,3.2714664935719195,30.0,932.0
2018-01-24,,,,,,,55.0,0.024282560706401765,3.4501542363904973,33.0,974.0
2018-01-24,,25.0,,,,,,0.025754231052244298,3.579628613938492,35.0,997.0
,,,,24601,,,,0.8646063281824872,12.834202988354674,1175.0,45187.0
,,,,,,DC-HSPA+,,1.0,Infinity,1359.0,74578.0
